index,uuid,title,description,snippet,url,source,language,published_at,categories,E_codings,S_codings,Z_codings
411,28ba96ff-f1b3-4e60-ae41-f949ec20cb29,Kremlin hails importance of Putin-Xi meeting in Samarkand,"MOSCOW (AP) — The Kremlin on Tuesday hailed the significance of Russian President Vladimir Putin’s planned meeting with Chinese leader Xi Jinping this week,...","This advertisement has not loaded yet, but your article continues below.

Kremlin hails importance of Putin-Xi meeting in Samarkand

Article content MOSCOW (AP)...",https://nationalpost.com/pmn/news-pmn/kremlin-hails-importance-of-putin-xi-meeting-in-samarkand,nationalpost.com,en,2022-09-13T14:46:06.000000Z,general,,,
412,57a4c6c1-d90b-426e-83be-9db1290b2600,"Pandas may return to California, China’s Xi says","Pandas might soon be returning to California, Chinese President Xi Jinping suggested Wednesday at a dinner attended by hundreds of U.S. business leaders.","Pandas might soon be returning to California, Chinese President Xi Jinping suggested Wednesday at a dinner in San Francisco attended by hundreds of U.S. busines...",https://www.nbcnews.com/news/world/xi-jinping-china-pandas-california-biden-summit-rcna125471,nbcnews.com,en,2023-11-16T12:54:56.000000Z,"general,politics",,,
413,162b0db1-3bb1-49f2-b0c0-c7c0d61cd15d,Xi promotes allies who support his vision of tighter control over Chinese society,"President Xi Jinping, China's most powerful leader in decades, increased his dominance when he was named Sunday to another term as head of the ruling Communist ...","President Xi Jinping, China's most powerful leader in decades, increased his dominance when he was named Sunday to another term as head of the ruling Communist ...",https://www.cbc.ca/news/world/china-communist-party-xi-jinping-1.6626560?cmp=rss,cbc.ca,en,2022-10-23T11:12:01.000000Z,general,,,
414,45debe0b-9946-4f9f-9fa3-b1d37dd82cb0,Xi promotes allies who support his vision of tighter control over Chinese society,"President Xi Jinping, China's most powerful leader in decades, increased his dominance when he was named Sunday to another term as head of the ruling Communist ...","President Xi Jinping, China's most powerful leader in decades, increased his dominance when he was named Sunday to another term as head of the ruling Communist ...",https://www.cbc.ca/news/world/china-communist-party-xi-jinping-1.6626560,news.google.com,en,2022-10-23T10:12:01.000000Z,general,,,
415,227063ca-281b-461c-8ec3-a56624353b08,How Xi Jinping could be overthrown as China's Communist Party President,Xi Jinping could be overthrown as Chinese's Communist Party leader despite his ruthless purging of opponents. The Australian Strategist Policy Institute said a ...,"Xi Jinping's position as China's President could be threatened from within his Communist Party if economic growth plunges, a national security expert says.

The...",https://www.dailymail.co.uk/news/article-10270453/How-Xi-Jinping-overthrown-Chinas-Communist-Party-President.html,news.google.com,en,2021-12-03T08:16:50.000000Z,general,,,
416,ed6d0810-3b99-448a-8a8f-c83dbe294976,"Biden-Xi summit: What Biden wants, what Xi wants","PHNOM PENH, Cambodia (AP) — There won’t be concessions from the U.S. side. No real deliverables, which is government-speak for specific achievements. Don’...","This advertisement has not loaded yet, but your article continues below.

Chris Selley: Hands off Twitter, Mr. Trudeau. Remember when you wanted social media gi...",https://nationalpost.com/pmn/news-pmn/biden-xi-summit-what-biden-wants-what-xi-wants,nationalpost.com,en,2022-11-13T05:05:29.000000Z,general,,,
417,7a2e79c9-e2d5-48eb-9731-6bf45103fa7e,"Plane carrying 132 crashes in China, Xi orders probe",The Boeing 737 flight from Kunming city to the southern hub of Guangzhou lost airborne contact over Wuzhou city in the Guangxi region on Monday afternoon.,"Share this article Whatsapp

Facebook

Twitter

Linkedin Laurie Chen (Agence France-Presse) (The Jakarta Post) Beijing ● Tue, March 22 2022

A China Eastern p...",https://www.thejakartapost.com/paper/2022/03/22/plane-carrying-132-crashes-in-china-xi-orders-probe.html,news.google.com,en,2022-03-22T01:44:19.000000Z,general,,,
418,4fcf74b8-027c-4de9-a1db-68968481cb6a,China’s President Xi to Trump: ‘There are no winners in a tariff war’,"China slapped the United States with a new tariff, raising the tax on American goods to 125%. It comes after the White House raised tariffs on China to 145%. Ch...","

Copied

China slapped the United States with a new tariff, raising the tax on American goods to 125%. It comes after the White House raised tariffs on China t...",https://www.today.com/video/china-hits-us-with-new-retaliatory-125-tariff-as-trade-war-heats-up-237122629522,nbcnews.com,en,2025-04-11T11:21:09.000000Z,"general,politics",,,
419,90c330e0-2463-4567-a66c-bcc23c7e51e9,Timeline: Chinese leader Xi Jinping's rise and rule,"BEIJING (AP) — Chinese President Xi Jinping, the son of a communist revolutionary leader, was a victim of the Cultural Revolution and a provincial chief who?...","This advertisement has not loaded yet, but your article continues below.

Danielle Smith vows not to back away from sovereignty act at party's Alberta AGM

Two ...",https://nationalpost.com/pmn/news-pmn/timeline-chinese-leader-xi-jinpings-rise-and-rule,nationalpost.com,en,2022-10-23T06:53:32.000000Z,general,,,
420,d86c1638-f553-471f-bcd0-a30867edde97,"China's Xi talks up security, reiterates COVID stance as congress opens",BEIJING — Chinese President Xi Jinping called for accelerating the building of a world-class military while touting the fight against COVID-19 as he kicked of...,"This advertisement has not loaded yet, but your article continues below.

China's Xi talks up security, reiterates COVID stance as congress opens

Article conte...",https://nationalpost.com/pmn/health-pmn/chinas-xi-talks-up-security-reiterates-covid-stance-as-congress-opens-5,nationalpost.com,en,2022-10-16T11:50:37.000000Z,general,,,
421,64b4b400-7b64-462e-810b-d4ad07d9e8ae,'Xinjiang Papers': Leak reveals connection between Xi Jinping's speeches and the Uyghur crackdown,"Top Chinese officials, including President Xi Jinping, have now been directly implicated in the crackdown on Uyghur Muslims in a newly published cache of docume...","Top Chinese officials, including President Xi Jinping, have now been directly implicated in the crackdown on Uyghur Muslims in a newly published cache of docume...",https://www.wionews.com/world/xinjiang-papers-leak-reveals-connection-between-xi-jinpings-speeches-and-the-uyghur-crackdown-432970,news.google.com,en,2021-11-30T09:59:01.000000Z,general,,,
422,b782d670-70ab-4b67-aaca-465d66135d1d,"China's Xi talks up security, reiterates COVID stance as congress opens",BEIJING — Chinese President Xi Jinping called for accelerating the building of a world-class military while touting the fight against COVID-19 as he kicked of...,"This advertisement has not loaded yet, but your article continues below.

China's Xi talks up security, reiterates COVID stance as congress opens

Article conte...",https://nationalpost.com/pmn/health-pmn/chinas-xi-talks-up-security-reiterates-covid-stance-as-congress-opens-3,nationalpost.com,en,2022-10-16T10:50:50.000000Z,general,,,
423,61ceda2e-5b6a-4833-84d8-c19f8597839b,Analysis: How Xi Jinping and Vladimir Putin's new friendship could test the US,"As two autocrats traded tributes over a feast of quail, venison, Siberian white salmon and pomegranate sorbet, China and Russia seemed to conjure the anti-Weste...","CNN —

As two autocrats traded tributes over a feast of quail, venison, Siberian white salmon and pomegranate sorbet, China and Russia seemed to conjure the a...",https://www.cnn.com/2023/03/22/politics/xi-putin-us-relationship/index.html,cnn.com,en,2023-03-22T04:08:15.000000Z,general,,,
424,f9248e65-c3c4-4745-9cdf-8d1460e50435,Putin and Xi reaffirm 'no-limits' partnership as Moscow intensifies offensive in Ukraine,"Chinese leader Xi Jinping reaffirmed the ""no-limits"" partnership with Russian President Vladimir Putin at a Beijing summit on Thursday, officials said.","At a Beijing summit, Russian President Vladimir Putin and Chinese leader Xi Jinping reaffirmed ties between the two countries.

Putin’s visit to China occurre...",https://www.foxnews.com/world/putin-xi-reaffirm-no-limits-partnership-moscow-intensifies-offensive-ukraine,foxnews.com,en,2024-05-16T10:26:25.000000Z,"general,politics",,,
